INPUT:phrase	OUTPUT:audio_record	HINT:text	ASSIGNMENT:link	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
ZG723748674RU	cc5cdfbe-4555-4065-94b6-86f1403f196b		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
ZE543487575CA	664b6f7b-91e3-458d-8053-76fee3e3bbe0		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
LO563555212RU	b4ada796-1e3d-4b46-ac05-dcb342af518b		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
RI334444117RU	b11fe3aa-2f0a-4335-a6c8-9f73f72dbcc2		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
RS746662543RU	471018c1-3dea-4987-ad43-c1743fc08120		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
ZL681353815RU	193e1a29-012b-4e6c-b392-b55d9edd86e4		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
VK552161452RU	6a08aa8d-e8d9-4dd4-8ed0-73cf1937d31d		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
ZT513162632RU	605ddd60-6c1c-4442-83bd-af0bc7076594		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
LD612867134RU	0c5c40e0-7f34-4b84-9252-c3ee8f7a073d		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
UU582247280FR	49111f16-1f9b-4cab-9260-c002b3d9b6d7		https://toloka.yandex.ru/task/9965746/00009810b2--5e19c4d0b59afa0116cd61c4	00009810b2--5e19c4d0b59afa0116cd61c4	df6de58fc3d04ff7a355410532b18845	SUBMITTED	2020-01-11T12:51:28.959		
